id,name,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature
3TeGBS4boert6YCIkhUaDI,Gongoora Thota,0.747,0.148,0.812,5.96E-05,0.0676,0.849,-7.664,0.226,95.064,10,4
7vzsGnsgEAvpR7G0oYDPfV,Dekho Dekho Gabbar Singh,0.903,0.0828,0.87,0,0.219,0.859,-2.617,0.119,100.005,9,4
14I31bbtEZVADFi1uCcxcu,Akasam Ammayaithe,0.796,0.4,0.9,1.43E-05,0.212,0.962,-3.077,0.0524,115.976,5,4
5slxvWwJhpvXf5yn06eI86,Mandu Baabulam,0.753,0.47,0.928,0.00256,0.154,0.578,-3.439,0.35,169.797,1,4
2x2W7PnBelMmLZBV6YqRFQ,Pillaa,0.744,0.549,0.958,0.000286,0.0418,0.94,-1.953,0.101,94.214,0,4
70aYyuwZG2KxnJ5Yw5irTy,Dil Se,0.817,0.242,0.86,1.78E-05,0.0512,0.891,-1.771,0.0485,94.027,0,4
5fl5pJKjWwJgRkbZfZzyGw,Kevvu Keka,0.672,0.159,0.918,0.00158,0.415,0.872,-1.455,0.168,169.842,7,4
5gqhfk5hXAFMZZzwiENcVq,Le Le Lele,0.908,0.0142,0.831,0.00616,0.0549,0.62,-7.52,0.0643,119.992,0,4
6gZmBVAH2qEXqcTXVQBDcD,Chiguraku Chatu,0.764,0.195,0.648,0.000493,0.183,0.236,-8.452,0.0654,94.002,8,4
2RPC9OGiIbFnbo51H0cKRt,Chilakamma Mukkuki,0.758,0.218,0.84,0.000147,0.182,0.536,-9.138,0.142,148.062,2,4
4NugyVw9Of2Z4uyBXf33tX,Chitti Nadumune,0.634,0.0818,0.844,0.00639,0.572,0.907,-7.939,0.0863,179.871,2,4
7GRBX2LsuIYGPzjZ9ggnES,Emantaro,0.499,0.0923,0.69,4.85E-05,0.142,0.434,-7.536,0.109,174.131,5,4
57bRQzh6XEfIU4uGXz1p5j,Killi Killi,0.789,0.184,0.837,0.000694,0.0243,0.757,-6.11,0.165,86.009,2,4
0VcO1SA3oUKl1qHSUc6LxQ,Bombhaat,0.835,0.233,0.823,0,0.13,0.321,-4.739,0.174,97.01,7,4
0T1IavVfIniuiSN6W7uI3V,Miss Sunshine,0.832,0.353,0.518,3.75E-05,0.103,0.587,-7.737,0.0945,97.991,2,4
7IMijW6lSRUgdHzWXaE2fF,Laggam Time,0.53,0.486,0.906,0,0.0487,0.634,-2.606,0.268,148.617,5,4
6wH2LqRN3AFRyyZqUDsNCt,Freedom,0.674,0.407,0.914,0,0.258,0.505,-2.377,0.103,92.024,9,4
28xt5x1wwoMfVYI9zfIwRx,Oh Sita Hey Rama,0.638,0.585,0.425,0,0.0909,0.549,-11.722,0.045,169.834,6,4
0gE8ZP2cTXpRDz53bTkpu6,Inthandham,0.669,0.667,0.371,0,0.109,0.628,-9.925,0.059,99.931,4,4
1bxzr3JK05fMTcweGAZUHp,"Chuttamalle (From ""Devara Part 1"")",0.677,0.136,0.623,5.24E-06,0.161,0.616,-7.404,0.0797,145.56,4,3
2gKNWPBrI2IRBl2RRUtoEb,"Sooseki (From ""Pushpa 2 The Rule"") [TELUGU]",0.785,0.221,0.709,3.28E-06,0.144,0.818,-6.953,0.0808,95.04,5,4
0kNe3kmRFq7eKVlL15h7nb,Anuvanuvuu,0.228,0.851,0.551,4.81E-05,0.126,0.246,-8.947,0.0467,178.083,3,3
0qdiNx11tQtjFCqbko9i2k,"Garam Garam (From ""Saripodhaa Sanivaaram"")",0.589,0.0137,0.855,4.51E-06,0.0708,0.939,-7.237,0.0482,87.494,10,4
0yR49HoYJsJ27ey9rrtKql,"Oh My Baby (From ""Guntur Kaaram"")(Telugu)",0.881,0.762,0.734,0.000231,0.197,0.792,-5.942,0.0528,115.062,5,4
4Bb4Vgzp1kAebqI7KnDFPn,Ghallu Ghallu,0.709,0.117,0.51,0,0.582,0.345,-11.417,0.161,91.99,4,4
5kNydYWkUyXh4zVoy8QDmC,"Bhairava Anthem (From ""Kalki 2898 Ad"") (Telugu)",0.654,0.11,0.85,0,0.759,0.512,-3.105,0.0719,154.951,8,4
4WLb2gV1NHlCC6KMjsWVp6,"Aa Rojulu Malli Raavu (From ""Committee Kurrollu"")",0.72,0.753,0.477,0,0.406,0.497,-7.751,0.0334,120.074,2,4
2WtOJI2Pwk88RAZPeTgMp0,"Reppal Dappul (From ""Mr. Bachchan"")",0.428,0.0692,0.977,0.00645,0.211,0.381,-6.594,0.113,123.022,5,3
7vLR2TSzHEVUNlKm5dcYpo,"SteppaMaar (From ""Double ISMART"")(Telugu)",0.624,0.0165,0.813,0.000164,0.435,0.592,-6.03,0.233,135.073,1,4
02VVOQId2O83I5hLJ1GFmH,Dai Dai Dhamma,0.856,0.231,0.721,0.000952,0.15,0.811,-9.247,0.133,123.016,0,4
0ROW5t0PWyBS6k0UizBr6c,"Ullaasam (From ""Saripodhaa Sanivaaram"")",0.715,0.358,0.602,0.000743,0.0486,0.494,-8.129,0.0357,139.934,2,4
6b2WJDzGt5X8dYfpkWtvXW,"Fear Song (From ""Devara Part 1"") [Telugu]",0.642,0.0807,0.897,0.00651,0.118,0.442,-6.24,0.181,180.093,1,4
