id,name,danceability,acousticness,liveness,loudness,speechiness,label
https://open.spotify.com/embed/track/3e7CUrRaEgSmbk5XxlAgWc,Ney Veyrey,0.24,0.846,0.101,0.7471982018543378,0.0323,Romantic
https://open.spotify.com/embed/track/4GWaSKW0JpQsqsGjiRbiEz,Nanna Nuv Naa Pranam,0.322,0.915,0.114,0.6050010926232324,0.036,Romantic
https://open.spotify.com/embed/track/0ljjmkJocnhXzP62JYNW8p,Evarevaro,0.474,0.762,0.102,0.6793931258389786,0.0396,Romantic
https://open.spotify.com/embed/track/1brtmiixpIAspQgZEQKkLH,Kashmeeru,0.569,0.986,0.137,0.655730028408204,0.155,Romantic
https://open.spotify.com/embed/track/5BUtT8DGziwD6l9tA7FjJu,Yaalo Yaalaa,0.272,0.843,0.159,0.6391221552773704,0.0393,Romantic
https://open.spotify.com/embed/track/5e8q9tRKfzMDJuGR7DtJB2,SENIGA CHENLA NILABADI CHETHULIYAVE,0.571,0.166,0.167,0.8692910436112761,0.182,Cheerful
https://open.spotify.com/embed/track/3K9O6TqcIMX8plGkzBARiK,We Have Romeo,0.908,0.235,0.0361,0.6752411575562701,0.166,Cheerful
https://open.spotify.com/embed/track/3WkFzi4WS4PeJhHMn2Zbnl,Bommanu Geesthey,0.78,0.0742,0.136,0.7092997845971343,0.0301,Cheerful
https://open.spotify.com/embed/track/21d3KE855pG8CFvKRWjlsL,Kaani Ippudu,0.932,0.261,0.067,0.6319420597508819,0.0544,Cheerful
https://open.spotify.com/embed/track/5ykRe2NirQZdJJKArcXOEW,Music Bit,0.678,0.292,0.173,0.6093715855523991,0.0703,Cheerful
https://open.spotify.com/embed/track/7jcYdzweHJjcV8Lvk6xuIu,Laalu Dharvaja,0.866,0.144,0.0528,0.6769581369212999,0.194,Cheerful
https://open.spotify.com/embed/track/07D0H4cb2rlE0BDhvRtnhP,Nammaka Tappani,0.725,0.13,0.104,0.7030562232697531,0.0457,Cheerful
https://open.spotify.com/embed/track/4KDq9bn0wdEbIFQDi1CGgj,Apudo Ipudo,0.88,0.0519,0.0667,0.668373240096151,0.104,Cheerful
https://open.spotify.com/embed/track/0S9j9OAG3KjmBg4j9XzFcC,Radhika,0.758,0.183,0.183,0.8273343114912748,0.119,Cheerful
https://open.spotify.com/embed/track/0hY9eA74QrMCJuWEx7fo9y,"Kurchi Madathapetti (From ""Guntur Kaaram"")(Telugu)",0.748,0.625,0.0685,0.7867511628632974,0.129,Chill
https://open.spotify.com/embed/track/7KkaBto4aewGt8wl6q6wxH,Vachinde,0.825,0.352,0.0872,0.8253675896731497,0.12,Chill
https://open.spotify.com/embed/track/03O2vlADdl7X3iAi1nLkqL,Edo Jarugutondi,0.634,0.16,0.145,0.8207785720975246,0.0691,Cheerful
https://open.spotify.com/embed/track/3A3vrhAzRGaK92PtFzndjS,Hey Pillagaada,0.643,0.406,0.0973,0.7947429213623453,0.0855,Chill
https://open.spotify.com/embed/track/0xNiDPK4YdZ51ALxSid0QV,Oosupodu,0.388,0.28,0.267,0.8042019167733276,0.0633,Energetic
https://open.spotify.com/embed/track/6AnTokjUb1JdSwYAgYB2DC,Hey Mister,0.884,0.105,0.443,0.7755751880872852,0.0402,Energetic
https://open.spotify.com/embed/track/6ummx2ANmvlzDNCvQ84xBg,Fidaa,0.693,0.104,0.403,0.8412262354446978,0.0312,Energetic
https://open.spotify.com/embed/track/4aA2E3GC9NIx5yprmbAjM1,You Rock My World,0.821,0.052,0.367,0.7083008147847533,0.0895,Cheerful
https://open.spotify.com/embed/track/7A3HdpivKNGgTW2Bo3udV8,Nuvvunte,0.804,0.022,0.0759,0.6570723940935911,0.0914,Cheerful
https://open.spotify.com/embed/track/4s6M8nlOdDmFjKsyGepA1B,O My Brotheru,0.778,0.0514,0.194,0.6832016982486812,0.17,Cheerful
https://open.spotify.com/embed/track/2eGp9IyD2SedGK5e3oFB3Q,Thakadimithom,0.952,0.0265,0.0452,0.6440545687260014,0.244,Cheerful
https://open.spotify.com/embed/track/4EjO3ELtQkbOBox5adad6a,Feel My Love,0.746,0.0144,0.167,0.7256891330815097,0.0422,Cheerful
https://open.spotify.com/embed/track/0osnJEcmFX4tzO9MS8feMn,Aa Ante,0.781,0.0343,0.0826,0.7220054318983549,0.241,Cheerful
https://open.spotify.com/embed/track/18TORL6yEYyzbOjCrS8Ipc,Yedhane Koiyakae,0.726,0.449,0.0737,0.7538475946679988,0.05,Chill
https://open.spotify.com/embed/track/2bageubuN1HjNZwTNlyh0v,Naaloney Pongaynu,0.714,0.328,0.104,0.7402678487809448,0.0361,Chill
https://open.spotify.com/embed/track/5UIPA4TffGlnyDsaqVEc1v,Yegasi Yegasi,0.922,0.0939,0.202,0.7849717478849938,0.0946,Cheerful
https://open.spotify.com/embed/track/4rc1WGmRJ2CsHXTmrBu3gH,Monna Kanipinchavu,0.711,0.304,0.0693,0.7353666531389506,0.223,Cheerful
https://open.spotify.com/embed/track/2Lu03NYllO5uk4R9gvNZFJ,Oh! Shanthi Shanthi,0.656,0.356,0.137,0.7589048793431775,0.0443,Chill
https://open.spotify.com/embed/track/5Vhm92XrsXw5SfFYnxxspt,Athey Nanne,0.772,0.467,0.0816,0.6734929603846035,0.0833,Chill
https://open.spotify.com/embed/track/4dSs0v5rU0KCoZkSiuWZvl,Nidhare Kala,0.752,0.803,0.237,0.7139200199793964,0.0307,Romantic
https://open.spotify.com/embed/track/1ifMH14KizpUxIdRVyPsSZ,Niluvaddham,0.827,0.16,0.0922,0.7225985702244561,0.123,Cheerful
https://open.spotify.com/embed/track/4EztIh7yvgYs9YLCvxT8ku,Something Something,0.688,0.187,0.337,0.7438266787375519,0.314,Energetic
https://open.spotify.com/embed/track/69PuGOoNWxd2hM0tsrCa2O,Ghal Ghal,0.847,0.142,0.372,0.7288421315518373,0.119,Energetic
https://open.spotify.com/embed/track/4b4xkbpRpA8jHbP8GVLYWR,Chandrullo Unde,0.814,0.0771,0.0836,0.7018075110042769,0.0698,Cheerful
https://open.spotify.com/embed/track/3Gmq2pQZNo5TqrobE10WgA,Pari Poke Pitta,0.955,0.113,0.247,0.748446914119814,0.151,Cheerful
https://open.spotify.com/embed/track/6OJemp4sHmpogO2ieTATsq,Padam Kadala,0.79,0.687,0.103,0.6879155870508539,0.0623,Chill
https://open.spotify.com/embed/track/4FexaCwCrxQ9OErHZiLlWh,Adirey Adirey,0.881,0.171,0.231,0.7653357475103801,0.171,Cheerful
https://open.spotify.com/embed/track/4oDLTpHhYT61aV0RscA9rs,Silakemo,0.684,0.24,0.133,0.7864389847969283,0.405,Cheerful
https://open.spotify.com/embed/track/29aG6LSPJtU5yPDFYEvVfi,Andala Chukkala,0.893,0.519,0.123,0.6933474854056755,0.0638,Chill
https://open.spotify.com/embed/track/6adrkXOmPex66DvtZmsv3R,Maar Maar,0.799,0.15,0.0659,0.7603408984484752,0.184,Cheerful
https://open.spotify.com/embed/track/5umi7RqYbqfzuHSwz8oaQj,O Manasa,0.834,0.165,0.039,0.7294664876845753,0.0616,Cheerful
https://open.spotify.com/embed/track/5Xsq4Waw2KeRPpfrAoXmMT,Anaganaga Kadala,0.718,0.227,0.201,0.6923172977866575,0.0835,Cheerful
https://open.spotify.com/embed/track/3TeGBS4boert6YCIkhUaDI,Gongoora Thota,0.747,0.148,0.0676,0.72659444947398,0.226,Cheerful
https://open.spotify.com/embed/track/7vzsGnsgEAvpR7G0oYDPfV,Dekho Dekho Gabbar Singh,0.903,0.0828,0.219,0.8841507195704431,0.119,Cheerful
https://open.spotify.com/embed/track/14I31bbtEZVADFi1uCcxcu,Akasam Ammayaithe,0.796,0.4,0.212,0.8697905285174665,0.0524,Chill
https://open.spotify.com/embed/track/5slxvWwJhpvXf5yn06eI86,Mandu Baabulam,0.753,0.47,0.154,0.8584896825149066,0.35,Chill
https://open.spotify.com/embed/track/2x2W7PnBelMmLZBV6YqRFQ,Pillaa,0.744,0.549,0.0418,0.9048793431773484,0.101,Chill
https://open.spotify.com/embed/track/70aYyuwZG2KxnJ5Yw5irTy,Dil Se,0.817,0.242,0.0512,0.9105609839852652,0.0485,Cheerful
https://open.spotify.com/embed/track/5fl5pJKjWwJgRkbZfZzyGw,Kevvu Keka,0.672,0.159,0.415,0.9204258108825276,0.168,Energetic
